OTUs	Name	Oral_and_five_sense_organs	Skin	Circulatory_system	Urogenital_system	Digestive_system	Respiratory_system	Other(motor_and_nervous_and_endocrine_system)
otu_S000013928	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393545	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393546	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393547	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393548	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393549	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393550	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393551	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393552	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393553	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393554	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000393555	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000414454	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000414462	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000464973	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000464974	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000464975	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S000464976	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S001910578	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S002034900	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
otu_S002235878	Prevotella_nigrescens	periodontal_disease|gingivitis|endodontic_infection|nasopharynx_infection_disease	0	atherosclerosis	0	abdominal_infection	0	costochondritis
